top,bottom,right,left,HITId,HITTypeId,Reward,AssignmentDurationInSeconds,WorkerId,AssignmentStatus,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,WorkTimeInSeconds,ImageId,in_treatment,bound_size,bounding_box_score
422,586,550,138,37SDSEDIOCKDFHIRHX0KAUZPJK081M,3VMQHMXNFYY535P7V0MRNN4HN3BPRU,$0.20,3600,A1ESKJFDQUMBL4,Submitted,0% (0/0),0% (0/0),0% (0/0),136,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,13.0510266860313
422,585,551,134,37SDSEDIOCKDFHIRHX0KAUZPJK081M,3VMQHMXNFYY535P7V0MRNN4HN3BPRU,$0.20,3600,A4TQSZDPARE7I,Submitted,0% (0/0),0% (0/0),0% (0/0),142,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,16.8459334176911
425,582,549,146,37SDSEDIOCKDFHIRHX0KAUZPJK081M,3VMQHMXNFYY535P7V0MRNN4HN3BPRU,$0.20,3600,A1OCEC1TBE3CWA,Submitted,0% (0/0),0% (0/0),0% (0/0),144,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,7.29625713703719
424,588,549,126,37SDSEDIOCKDFHIRHX0KAUZPJK081M,3VMQHMXNFYY535P7V0MRNN4HN3BPRU,$0.20,3600,A2T3D68DRTSOTJ,Submitted,0% (0/0),0% (0/0),0% (0/0),149,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,23.0781623029613
425,582,546,144,37SDSEDIOCKDFHIRHX0KAUZPJK081M,3VMQHMXNFYY535P7V0MRNN4HN3BPRU,$0.20,3600,A11Q0SPI53J9DC,Submitted,0% (0/0),0% (0/0),0% (0/0),162,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,2.87534159405321
386,597,581,107,37SDSEDIOCKDFHIRHX0KAUZPJK081M,3VMQHMXNFYY535P7V0MRNN4HN3BPRU,$0.20,3600,A2VIJIP92R2BWD,Submitted,0% (0/0),0% (0/0),0% (0/0),162,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,92.3179191489072
431,576,545,144,37SDSEDIOCKDFHIRHX0KAUZPJK081M,3VMQHMXNFYY535P7V0MRNN4HN3BPRU,$0.20,3600,A1G7BBC1DT0YZ6,Submitted,0% (0/0),0% (0/0),0% (0/0),170,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,12.0500446182042
428,578,540,143,37SDSEDIOCKDFHIRHX0KAUZPJK081M,3VMQHMXNFYY535P7V0MRNN4HN3BPRU,$0.20,3600,A1QJFM0T6PHFD2,Submitted,0% (0/0),0% (0/0),0% (0/0),175,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,9.14766350498792
398,583,556,113,37SDSEDIOCKDFHIRHX0KAUZPJK081M,3VMQHMXNFYY535P7V0MRNN4HN3BPRU,$0.20,3600,A119XB4OETWU59,Submitted,0% (0/0),0% (0/0),0% (0/0),177,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,58.7992008272474
425,584,544,143,37SDSEDIOCKDFHIRHX0KAUZPJK081M,3VMQHMXNFYY535P7V0MRNN4HN3BPRU,$0.20,3600,AXPAQGAKQP558,Submitted,0% (0/0),0% (0/0),0% (0/0),183,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,4.20878856125586
426,586,549,147,37SDSEDIOCKDFHIRHX0KAUZPJK081M,3VMQHMXNFYY535P7V0MRNN4HN3BPRU,$0.20,3600,A3L3QOG7X0242,Submitted,0% (0/0),0% (0/0),0% (0/0),215,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,10.9814583883421
426,580,544,146,37SDSEDIOCKDFHIRHX0KAUZPJK081M,3VMQHMXNFYY535P7V0MRNN4HN3BPRU,$0.20,3600,AAABU3NPTCTAR,Submitted,0% (0/0),0% (0/0),0% (0/0),234,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,4.92295275792008
398,583,557,113,37SDSEDIOCKDFHIRHX0KAUZPJK081M,3VMQHMXNFYY535P7V0MRNN4HN3BPRU,$0.20,3600,A2ZSQLANLQ7OC6,Submitted,0% (0/0),0% (0/0),0% (0/0),235,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,59.2141635957009
424,580,545,150,37SDSEDIOCKDFHIRHX0KAUZPJK081M,3VMQHMXNFYY535P7V0MRNN4HN3BPRU,$0.20,3600,AF3K80U0YQJMZ,Submitted,0% (0/0),0% (0/0),0% (0/0),239,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,7.07487900114365
418,584,554,136,37SDSEDIOCKDFHIRHX0KAUZPJK081M,3VMQHMXNFYY535P7V0MRNN4HN3BPRU,$0.20,3600,A2CYXHEA1EX07O,Submitted,0% (0/0),0% (0/0),0% (0/0),273,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,19.0659159772867
399,583,547,141,37SDSEDIOCKDFHIRHX0KAUZPJK081M,3VMQHMXNFYY535P7V0MRNN4HN3BPRU,$0.20,3600,A1MHQSP1POQNXX,Submitted,0% (0/0),0% (0/0),0% (0/0),275,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,28.2046219442214
430,581,544,144,37SDSEDIOCKDFHIRHX0KAUZPJK081M,3VMQHMXNFYY535P7V0MRNN4HN3BPRU,$0.20,3600,A2RCMJLGDWYFO,Submitted,0% (0/0),0% (0/0),0% (0/0),280,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,6.67403679140257
418,584,549,150,37SDSEDIOCKDFHIRHX0KAUZPJK081M,3VMQHMXNFYY535P7V0MRNN4HN3BPRU,$0.20,3600,A2W32ASFEXZE5I,Submitted,0% (0/0),0% (0/0),0% (0/0),294,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,14.7031067346332
425,583,540,145,37SDSEDIOCKDFHIRHX0KAUZPJK081M,3VMQHMXNFYY535P7V0MRNN4HN3BPRU,$0.20,3600,A366YWY1JQO4DH,Submitted,0% (0/0),0% (0/0),0% (0/0),315,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,7.33296168436656
426,579,543,145,37SDSEDIOCKDFHIRHX0KAUZPJK081M,3VMQHMXNFYY535P7V0MRNN4HN3BPRU,$0.20,3600,A27JY3V78RDGFY,Submitted,0% (0/0),0% (0/0),0% (0/0),322,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,5.17285221130469
425,582,545,144,37SDSEDIOCKDFHIRHX0KAUZPJK081M,3VMQHMXNFYY535P7V0MRNN4HN3BPRU,$0.20,3600,A1EIMXVUOG49SJ,Submitted,0% (0/0),0% (0/0),0% (0/0),347,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,2.25009218681938
429,577,542,146,37SDSEDIOCKDFHIRHX0KAUZPJK081M,3VMQHMXNFYY535P7V0MRNN4HN3BPRU,$0.20,3600,A279HK0GY9PIJ0,Submitted,0% (0/0),0% (0/0),0% (0/0),380,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,10.4468276614967
417,588,565,138,37SDSEDIOCKDFHIRHX0KAUZPJK081M,3VMQHMXNFYY535P7V0MRNN4HN3BPRU,$0.20,3600,A1NJQZGRNLH6RO,Submitted,0% (0/0),0% (0/0),0% (0/0),387,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,30.346176764389
431,582,543,146,37SDSEDIOCKDFHIRHX0KAUZPJK081M,3VMQHMXNFYY535P7V0MRNN4HN3BPRU,$0.20,3600,A20P4INLPHG8VA,Submitted,0% (0/0),0% (0/0),0% (0/0),415,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,10.0125959672757
423,582,546,146,37SDSEDIOCKDFHIRHX0KAUZPJK081M,3VMQHMXNFYY535P7V0MRNN4HN3BPRU,$0.20,3600,A3I7ZBU31VKOMC,Submitted,0% (0/0),0% (0/0),0% (0/0),426,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,4.51112382585576
427,581,549,142,37SDSEDIOCKDFHIRHX0KAUZPJK081M,3VMQHMXNFYY535P7V0MRNN4HN3BPRU,$0.20,3600,A1EA65VORB7TPU,Submitted,0% (0/0),0% (0/0),0% (0/0),452,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,6.65240965912506
426,576,556,136,37SDSEDIOCKDFHIRHX0KAUZPJK081M,3VMQHMXNFYY535P7V0MRNN4HN3BPRU,$0.20,3600,A19Q990ORTCBN4,Submitted,0% (0/0),0% (0/0),0% (0/0),504,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,20.4324428745432
429,578,543,146,37SDSEDIOCKDFHIRHX0KAUZPJK081M,3VMQHMXNFYY535P7V0MRNN4HN3BPRU,$0.20,3600,A3AHAY1VIJDCGX,Submitted,0% (0/0),0% (0/0),0% (0/0),522,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,9.2582890324839
492,499,157,147,37SDSEDIOCKDFHIRHX0KAUZPJK081M,3VMQHMXNFYY535P7V0MRNN4HN3BPRU,$0.20,3600,A3AHAY1VIJDCGX,Submitted,0% (0/0),0% (0/0),0% (0/0),522,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,475.639856083045
426,585,545,142,37SDSEDIOCKDFHIRHX0KAUZPJK081M,3VMQHMXNFYY535P7V0MRNN4HN3BPRU,$0.20,3600,AWYK8MO0YQGXG,Submitted,0% (0/0),0% (0/0),0% (0/0),537,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,6.25702042382438
428,574,539,143,37SDSEDIOCKDFHIRHX0KAUZPJK081M,3VMQHMXNFYY535P7V0MRNN4HN3BPRU,$0.20,3600,A18EWG6CNKAO2J,Submitted,0% (0/0),0% (0/0),0% (0/0),629,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,13.9236996702362
426,585,546,142,37SDSEDIOCKDFHIRHX0KAUZPJK081M,3VMQHMXNFYY535P7V0MRNN4HN3BPRU,$0.20,3600,A2WYGPR0ECWJFZ,Submitted,0% (0/0),0% (0/0),0% (0/0),635,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,6.64347332973645
431,581,542,145,37SDSEDIOCKDFHIRHX0KAUZPJK081M,3VMQHMXNFYY535P7V0MRNN4HN3BPRU,$0.20,3600,A37YC7R1H04X9P,Submitted,0% (0/0),0% (0/0),0% (0/0),751,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,9.1212833123736
429,577,543,141,37SDSEDIOCKDFHIRHX0KAUZPJK081M,3VMQHMXNFYY535P7V0MRNN4HN3BPRU,$0.20,3600,A2G44A4ZPWRPXU,Submitted,0% (0/0),0% (0/0),0% (0/0),931,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,9.90639918383073
430,583,544,146,37SDSEDIOCKDFHIRHX0KAUZPJK081M,3VMQHMXNFYY535P7V0MRNN4HN3BPRU,$0.20,3600,A1XBVNMQLREX5A,Submitted,0% (0/0),0% (0/0),0% (0/0),997,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,9.34607543852009
425,582,545,142,37SDSEDIOCKDFHIRHX0KAUZPJK081M,3VMQHMXNFYY535P7V0MRNN4HN3BPRU,$0.20,3600,A20NUGCPGHLZGD,Submitted,0% (0/0),0% (0/0),0% (0/0),1019,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,2.75090224812767
428,574,546,145,37SDSEDIOCKDFHIRHX0KAUZPJK081M,3VMQHMXNFYY535P7V0MRNN4HN3BPRU,$0.20,3600,A34A8A4MZ1V53Y,Submitted,0% (0/0),0% (0/0),0% (0/0),1054,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,11.4144266655842
431,580,547,148,37SDSEDIOCKDFHIRHX0KAUZPJK081M,3VMQHMXNFYY535P7V0MRNN4HN3BPRU,$0.20,3600,A134M46ZP1H02D,Submitted,0% (0/0),0% (0/0),0% (0/0),1058,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,12.1336595116126
429,583,544,148,37SDSEDIOCKDFHIRHX0KAUZPJK081M,3VMQHMXNFYY535P7V0MRNN4HN3BPRU,$0.20,3600,A2WWMDOUR0HL4Q,Submitted,0% (0/0),0% (0/0),0% (0/0),1085,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,10.0934760441994
505,526,518,475,37SDSEDIOCKDFHIRHX0KAUZPJK081M,3VMQHMXNFYY535P7V0MRNN4HN3BPRU,$0.20,3600,A2WWMDOUR0HL4Q,Submitted,0% (0/0),0% (0/0),0% (0/0),1085,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,421.438072109309
426,578,544,141,37SDSEDIOCKDFHIRHX0KAUZPJK081M,3VMQHMXNFYY535P7V0MRNN4HN3BPRU,$0.20,3600,A2AKGKD22DWZHI,Submitted,0% (0/0),0% (0/0),0% (0/0),1114,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,5.91691929993221
424,580,548,141,37SDSEDIOCKDFHIRHX0KAUZPJK081M,3VMQHMXNFYY535P7V0MRNN4HN3BPRU,$0.20,3600,A1H8AABW86LBCO,Submitted,0% (0/0),0% (0/0),0% (0/0),1158,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,5.92312309497615
426,580,542,146,335HHSX8DGN00NZW0UELO9TXB0VHD2,3VMQHMXNFYY535P7V0MRNN4HN3BPRU,$0.20,3600,A2QLZ92VQ01A4Q,Submitted,0% (0/0),0% (0/0),0% (0/0),135,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,1,63188.63825472,6.13508664529251
426,581,559,114,335HHSX8DGN00NZW0UELO9TXB0VHD2,3VMQHMXNFYY535P7V0MRNN4HN3BPRU,$0.20,3600,A218BGZJ249RHB,Submitted,0% (0/0),0% (0/0),0% (0/0),274,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,1,63188.63825472,43.8586068296234
424,579,545,143,335HHSX8DGN00NZW0UELO9TXB0VHD2,3VMQHMXNFYY535P7V0MRNN4HN3BPRU,$0.20,3600,A1E6E0XZ1BX1AR,Submitted,0% (0/0),0% (0/0),0% (0/0),94,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,1,63188.63825472,2.3921417273409
423,586,545,141,335HHSX8DGN00NZW0UELO9TXB0VHD2,3VMQHMXNFYY535P7V0MRNN4HN3BPRU,$0.20,3600,A10463CXXO00VE,Submitted,0% (0/0),0% (0/0),0% (0/0),132,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,1,63188.63825472,6.59180462622781
416,591,539,148,335HHSX8DGN00NZW0UELO9TXB0VHD2,3VMQHMXNFYY535P7V0MRNN4HN3BPRU,$0.20,3600,A3C5V0SNXXS5E7,Submitted,0% (0/0),0% (0/0),0% (0/0),315,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,1,63188.63825472,20.8122842833903
412,617,570,125,335HHSX8DGN00NZW0UELO9TXB0VHD2,3VMQHMXNFYY535P7V0MRNN4HN3BPRU,$0.20,3600,A3Q9UK9RCL87O8,Submitted,0% (0/0),0% (0/0),0% (0/0),100,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,1,63188.63825472,68.4673333664572
516,520,657,624,335HHSX8DGN00NZW0UELO9TXB0VHD2,3VMQHMXNFYY535P7V0MRNN4HN3BPRU,$0.20,3600,A8NMM0NXN9JIT,Submitted,0% (0/0),0% (0/0),0% (0/0),1103,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,1,63188.63825472,629.715146209444
432,577,542,146,335HHSX8DGN00NZW0UELO9TXB0VHD2,3VMQHMXNFYY535P7V0MRNN4HN3BPRU,$0.20,3600,A8NMM0NXN9JIT,Submitted,0% (0/0),0% (0/0),0% (0/0),1103,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,1,63188.63825472,13.2170067281602
425,578,544,148,335HHSX8DGN00NZW0UELO9TXB0VHD2,3VMQHMXNFYY535P7V0MRNN4HN3BPRU,$0.20,3600,A2A3U0GTJ7DK6Q,Submitted,0% (0/0),0% (0/0),0% (0/0),143,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,1,63188.63825472,6.71262548316917
,,,,335HHSX8DGN00NZW0UELO9TXB0VHD2,3VMQHMXNFYY535P7V0MRNN4HN3BPRU,$0.20,3600,A6YCL762M6N74,Submitted,0% (0/0),0% (0/0),0% (0/0),363,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,1,63188.63825472,
398,579,550,143,335HHSX8DGN00NZW0UELO9TXB0VHD2,3VMQHMXNFYY535P7V0MRNN4HN3BPRU,$0.20,3600,A1FEQPNF3GMLG8,Submitted,0% (0/0),0% (0/0),0% (0/0),83,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,1,63188.63825472,28.578885407122
429,576,555,148,335HHSX8DGN00NZW0UELO9TXB0VHD2,3VMQHMXNFYY535P7V0MRNN4HN3BPRU,$0.20,3600,A3BIRWA8ZHZQSL,Submitted,0% (0/0),0% (0/0),0% (0/0),512,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,1,63188.63825472,18.3247212294676
428,579,544,145,335HHSX8DGN00NZW0UELO9TXB0VHD2,3VMQHMXNFYY535P7V0MRNN4HN3BPRU,$0.20,3600,A1G10UPKNT2YEX,Submitted,0% (0/0),0% (0/0),0% (0/0),1540,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,1,63188.63825472,6.63730255402744
421,579,543,142,335HHSX8DGN00NZW0UELO9TXB0VHD2,3VMQHMXNFYY535P7V0MRNN4HN3BPRU,$0.20,3600,A25WGTFYA70QGZ,Submitted,0% (0/0),0% (0/0),0% (0/0),113,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,1,63188.63825472,5.83760033667025
423,586,542,138,335HHSX8DGN00NZW0UELO9TXB0VHD2,3VMQHMXNFYY535P7V0MRNN4HN3BPRU,$0.20,3600,A3KOWY3F88WP94,Submitted,0% (0/0),0% (0/0),0% (0/0),296,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,1,63188.63825472,10.1530957469963
430,578,544,148,335HHSX8DGN00NZW0UELO9TXB0VHD2,3VMQHMXNFYY535P7V0MRNN4HN3BPRU,$0.20,3600,AOQIN4AGBL85L,Submitted,0% (0/0),0% (0/0),0% (0/0),1428,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,1,63188.63825472,11.5593965081993
425,577,527,148,335HHSX8DGN00NZW0UELO9TXB0VHD2,3VMQHMXNFYY535P7V0MRNN4HN3BPRU,$0.20,3600,A3ABJN1IL7UCZ8,Submitted,0% (0/0),0% (0/0),0% (0/0),62,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,1,63188.63825472,23.7944626451384
429,580,541,141,335HHSX8DGN00NZW0UELO9TXB0VHD2,3VMQHMXNFYY535P7V0MRNN4HN3BPRU,$0.20,3600,A2MDORDGPI3WKR,Submitted,0% (0/0),0% (0/0),0% (0/0),88,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,1,63188.63825472,8.74774919523474
422,585,550,133,335HHSX8DGN00NZW0UELO9TXB0VHD2,3VMQHMXNFYY535P7V0MRNN4HN3BPRU,$0.20,3600,ASBVFTDEA883R,Submitted,0% (0/0),0% (0/0),0% (0/0),328,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,1,63188.63825472,16.8263650178467
427,572,547,148,335HHSX8DGN00NZW0UELO9TXB0VHD2,3VMQHMXNFYY535P7V0MRNN4HN3BPRU,$0.20,3600,AX1TWZNM2XLYO,Submitted,0% (0/0),0% (0/0),0% (0/0),210,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,1,63188.63825472,13.942704640126
414,590,551,134,335HHSX8DGN00NZW0UELO9TXB0VHD2,3VMQHMXNFYY535P7V0MRNN4HN3BPRU,$0.20,3600,A3BHKF9NJKCXPB,Submitted,0% (0/0),0% (0/0),0% (0/0),514,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,1,63188.63825472,24.8361193384996
429,582,543,145,335HHSX8DGN00NZW0UELO9TXB0VHD2,3VMQHMXNFYY535P7V0MRNN4HN3BPRU,$0.20,3600,AXBFJUI5IFJX2,Submitted,0% (0/0),0% (0/0),0% (0/0),187,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,1,63188.63825472,7.18292399176757
365,657,600,27,335HHSX8DGN00NZW0UELO9TXB0VHD2,3VMQHMXNFYY535P7V0MRNN4HN3BPRU,$0.20,3600,A3DDWZOH9DPSP9,Submitted,0% (0/0),0% (0/0),0% (0/0),169,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,1,63188.63825472,219.886435984557
371,611,553,130,335HHSX8DGN00NZW0UELO9TXB0VHD2,3VMQHMXNFYY535P7V0MRNN4HN3BPRU,$0.20,3600,A31Y7PAMZO5GVZ,Submitted,0% (0/0),0% (0/0),0% (0/0),330,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,1,63188.63825472,86.4956503274376
407,586,553,151,335HHSX8DGN00NZW0UELO9TXB0VHD2,3VMQHMXNFYY535P7V0MRNN4HN3BPRU,$0.20,3600,A1AWR7C38PW42P,Submitted,0% (0/0),0% (0/0),0% (0/0),172,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,1,63188.63825472,28.0750772357309
